cars,Fed Tax Credit,State Rebate (exhausted),Energy Co Rebate,Current Offers,Range,kWh,MPG; M/kWh,$/kWh,$/gallon // $/charge,kw/mile,fuel$/mile,maint$/mile,After Rebate Cost,Less Current car sale,energyCost,Miles Drive/Year,maint+Fuel/mile,Delta$/Mile,Break even vs current(miles)
Mache CARTE,"$7,500",$0,$0,$0,344,88,3.9,$0.36,,,,,,,0.48,,,,
Model Y LR,"$7,500",$0,$0,$0,326,80,4.1,$0.37,,,,,,,0.41,,,,
Kia Niro,"$7,500",$0,$0,$0,285,64,4.5,$0.38,,,,,,,0.39,,,,
Tesla Motors,"$7,500",$0,$0,$0,345,82,4.2,$0.39,,,,,,,0.95,,,,
Hyundai Kona,"$7,500",$0,$0,$0,315,64,4.9,$0.40,,,,,,,0.5,,,,
Porsche Taycan,"$7,500",$0,$0,$0,300,115,2.6,$0.41,,,,,,,0.6,,,,
Volkswagen ID,"$7,500",$0,$0,$0,250,77,3.2,$0.42,,,,,,,0.25,,,,
Chevy Bolt LT,"$7,500",$0,$0,$0,277,66,4.2,$0.43,,,,,,,0.75,,,,
Pacifia Hybrid,"$7,500",$0,$0,$0,520,96,80,$0.44,,,,,,,0.8,,,,
Fiat 500,"$7,500",$0,$0,$0,,,,,,,,,,,0.7,,,,
Mercedes-Benz EQS,"$7,500",$0,$0,$0,,,,,,,,,,,0.99,,,,
Volvo XC40 P8 Recharge,"$7,500",$0,$0,$0,,,,,,,,,,,0.25,,,,
Peugeot e-2008,"$7,500",$0,$0,$0,,,,,,,,,,,0.62,,,,
Jaguar I-Pace,"$7,500",$0,$0,$0,,,,,,,,,,,0.2,,,,
Mini Electric,"$7,500",$0,$0,$0,,,,,,,,,,,0.37,,,,
Volkswagen ID.4,"$7,500",$0,$0,$0,,,,,,,,,,,0.3,,,,
BMW i4,"$7,500",$0,$0,$0,,,,,,,,,,,0.97,,,,
Kia EV6,"$7,500",$0,$0,$0,,,,,,,,,,,0.39,,,,
Polestar 2,"$7,500",$0,$0,$0,,,,,,,,,,,0.45,,,,
Renault Megane E-Tech,"$7,500",$0,$0,$0,,,,,,,,,,,0.36,,,,
Ford Mustang Mach-E,"$7,500",$0,$0,$0,,,,,,,,,,,0.46,,,,
Skoda Enyaq iV,"$7,500",$0,$0,$0,,,,,,,,,,,0.89,,,,
Honda e,"$7,500",$0,$0,$0,,,,,,,,,,,0.81,,,,
Audi e-tron GT,"$7,500",$0,$0,$0,,,,,,,,,,,0.83,,,,
