Department for Transport statistics,,,,,,,,,,,
Vehicle Licensing Statistics (https://www.gov.uk/government/collections/vehicles-statistics),,,,,,,,,,,
,,,,,,,,,,,
Table VEH0150,,,,,,,,,,,
"Vehicles registered for the first time by body type, Great Britain, monthly: January 2001 to June 2015 1,2",,,,,,,,,,,
,,,,,,,Thousands,Per cent,Grams per km,Thousands,
Period,Cars,Motor cycles,Light goods,Heavy goods,Buses & coaches,Other vehicles,Total,Year-on-year change in total vehicles3,Average CO2 emissions for newly registered cars ,Ultra Low Emission Vehicles (ULEVs) 4,
2001,2586.0,180.5,274.0,52.5,10.6,34.2,3137.7,,,,
2002,2682.1,165.8,283.6,48.7,12.3,36.9,3229.4,2.9,,,
2003,2646.1,160.9,317.9,53.2,13.7,40.2,3231.9,0.1,172.6,,
2004,2599.1,137.1,341.0,53.1,13.2,41.9,3185.4,-1.4,171.3,,
2005,2443.5,135.6,329.7,56.9,13.1,42.6,3021.4,-5.2,169.7,,
2006,2340.0,135.2,328.3,54.5,12.3,43.3,2913.6,-3.6,167.7,,
2007,2390.1,146.4,340.1,47.3,12.1,60.9,2996.9,2.9,164.7,,
2008,2112.0,142.0,291.0,52.8,11.7,62.8,2672.2,-10.8,158.2,,
2009,1968.3,114.9,189.7,31.4,9.5,57.4,2371.2,-11.3,149.7,,
2010,1996.3,100.1,226.1,30.3,8.9,56.1,2417.8,2.0,144.3,1.3,
2011,1907.4,99.3,263.0,40.7,8.5,62.5,2381.5,-1.5,138.2,2.1,
2012,2010.8,100.1,242.4,41.7,9.8,65.0,2469.8,3.7,133.0,3.5,
2013,2225.1,98.4,274.4,53.2,9.1,56.0,2716.1,10.0,128.4,4.4,
2014,2438.3,108.3,324.4,38.5,8.3,55.8,2973.7,9.5,124.8,15.9,
2001 Q1,707.9,39.9,69.5,11.9,2.6,7.3,839.1,,,,
2001 Q2,618.6,55.1,66.9,13.2,2.8,9.5,766.0,,,,
2001 Q3,729.6,53.3,72.9,16.0,2.7,9.8,884.2,,,,
2001 Q4,529.9,32.2,64.9,11.3,2.5,7.6,648.5,,,,
2002 Q1,758.7,38.0,71.2,11.5,2.9,8.4,890.7,6.1,,,
2002 Q2,650.1,51.3,69.1,12.0,3.5,10.7,796.7,4.0,,,
2002 Q3,744.6,47.3,74.0,12.6,3.0,10.2,891.6,0.8,,,
2002 Q4,528.8,29.2,69.3,12.6,3.0,7.6,650.4,0.3,,,
2003 Q1,737.6,36.7,80.9,12.7,3.4,9.8,881.1,-1.1,172.8,,
2003 Q2,642.7,63.3,76.7,13.5,3.8,11.3,811.3,1.8,172.6,,
2003 Q3,742.8,35.8,85.0,13.3,3.5,11.1,891.4,0.0,172.4,,
2003 Q4,523.0,25.1,75.3,13.7,3.0,8.1,648.1,-0.4,172.4,,
2004 Q1,762.2,29.1,86.2,12.8,3.2,9.9,903.3,2.5,171.6,,
2004 Q2,629.9,42.7,83.8,13.6,3.6,12.2,785.8,-3.1,172.6,,
2004 Q3,710.1,39.7,87.9,12.9,3.3,11.8,865.7,-2.9,170.2,,
2004 Q4,496.9,25.7,83.1,13.8,3.1,8.1,630.6,-2.7,170.6,,
2005 Q1,697.9,27.0,87.4,12.9,3.2,9.9,838.3,-7.2,169.5,,
2005 Q2,594.4,43.6,84.3,15.4,3.8,12.8,754.3,-4.0,170.4,,
2005 Q3,677.2,40.4,84.8,14.7,3.2,11.6,831.9,-3.9,168.9,,
2005 Q4,473.9,24.7,73.3,13.9,3.0,8.2,596.9,-5.3,170.1,,
2006 Q1,661.8,28.8,87.2,13.2,3.8,10.1,804.8,-4.0,168.4,,
2006 Q2,569.9,41.3,80.3,16.6,3.5,12.5,724.1,-4.0,168.1,,
2006 Q3,662.4,39.8,84.5,15.2,2.7,11.6,816.1,-1.9,166.5,,
2006 Q4,446.0,25.4,76.2,9.5,2.4,9.1,568.5,-4.8,168.0,,
2007 Q1,678.0,31.9,86.7,9.6,2.7,14.5,823.2,2.3,165.5,,
2007 Q2,573.3,44.2,83.2,11.5,3.6,17.3,733.0,1.2,165.6,,
2007 Q3,670.6,41.8,89.9,12.6,3.2,16.8,835.0,2.3,164.1,,
2007 Q4,468.2,28.5,80.3,13.6,2.6,12.4,605.6,6.5,163.3,,
2008 Q1,675.2,31.4,88.8,13.6,3.0,15.2,827.0,0.5,160.8,,
2008 Q2,556.5,42.8,80.5,14.4,3.2,18.7,716.1,-2.3,159.3,,
2008 Q3,542.1,41.5,70.6,12.7,3.2,17.3,687.3,-17.7,156.0,,
2008 Q4,338.2,26.3,51.1,12.1,2.3,11.6,441.7,-27.1,154.9,,
2009 Q1,472.3,27.5,48.7,8.5,2.6,14.3,573.8,-30.6,153.5,,
2009 Q2,438.0,36.2,44.8,7.8,2.6,17.0,546.4,-23.7,151.5,,
2009 Q3,584.9,31.7,51.3,10.4,2.4,15.9,696.5,1.3,147.4,,
2009 Q4,473.1,19.5,44.9,4.8,2.0,10.1,554.5,25.5,147.2,,
2010 Q1,597.5,22.2,55.6,5.9,2.5,12.6,696.3,21.3,145.5,0.2,
2010 Q2,486.7,32.1,53.4,6.9,2.4,15.6,597.0,9.2,145.1,0.4,
2010 Q3,519.1,28.3,62.0,8.0,2.4,16.3,636.2,-8.7,143.2,0.4,
2010 Q4,393.0,17.5,55.2,9.5,1.6,11.6,488.4,-11.9,143.0,0.3,
2011 Q1,546.5,22.8,72.2,8.7,2.2,14.1,666.5,-4.3,140.3,0.6,
2011 Q2,460.7,31.1,62.0,9.6,2.3,17.2,583.0,-2.3,138.8,0.6,
2011 Q3,516.4,28.3,67.2,9.8,2.0,16.3,640.1,0.6,136.6,0.5,
2011 Q4,383.8,17.1,61.6,12.6,2.0,14.8,491.9,0.7,136.5,0.3,
2012 Q1,551.0,23.6,62.1,10.8,2.6,17.4,667.5,0.1,134.7,0.5,
2012 Q2,483.8,30.8,58.9,10.5,3.2,17.7,604.9,3.8,133.2,1.0,
2012 Q3,555.0,28.8,68.0,9.9,2.2,17.4,681.3,6.4,131.9,1.0,
2012 Q4,421.0,16.9,53.3,10.5,1.7,12.5,516.0,4.9,131.6,1.0,
2013 Q1,594.2,21.6,69.5,9.1,2.5,14.1,710.9,6.5,129.7,0.8,
2013 Q2,546.3,30.1,65.2,10.8,2.2,15.3,670.0,10.8,128.8,1.1,
2013 Q3,620.3,29.0,72.7,12.1,2.3,14.8,751.1,10.2,127.6,1.2,
2013 Q4,464.3,17.8,67.0,21.3,2.0,11.7,584.1,13.2,127.4,1.2,
2014 Q1,674.4,24.0,79.5,6.2,2.1,13.2,799.4,12.5,126.1,1.9,
2014 Q2,586.6,33.1,76.8,8.6,2.3,15.9,723.3,8.0,125.9,2.7,
2014 Q3,662.1,31.4,87.8,10.7,1.9,15.6,809.6,7.8,123.8,5.1,
